#,LABEL analytical,local/regional cultural attribution (can vary a lot!),absolute period,Site,Easting - Longitude,Northing-Latitude,Type of site/context,Region,Country,Artefact type,O,Sb,Sn,Cd,Pd,Ag,Ru,Mo,Nb,Zr,Bi,Pb,Se,As,Au,W,Zn,Cu,Ni,Co,Fe,Mn,Cr,V,Ti,Al,S,Cl,P,Si,Mg,Analytical technique,Corrosion products,
70,SEALIP/LA/PBL/21,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Bowtie ingot ,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0463,0.0277,nd,0.0713,nd,nd,0.1590,95.1650,0.0073,nd,4.2617,nd,nd,nd,nd,nd,nd,nd,nd,0.2397,nd,pXRF,,
71,SEALIP/LA/PBL/22,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Axe,nd,nd,12.1403,nd,nd,nd,nd,0.0103,0.0053,nd,nd,nd,nd,0.1083,nd,nd,nd,87.3163,nd,nd,0.2520,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
72,SEALIP/LA/PBL/23,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Hair pin,nd,nd,10.6000,nd,nd,nd,nd,nd,nd,nd,nd,0.0960,nd,0.0923,nd,nd,nd,89.1523,nd,nd,0.0560,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
73,SEALIP/LA/PBL/24,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Axe,nd,nd,18.2783,nd,nd,nd,nd,nd,nd,nd,nd,0.0737,nd,0.0660,nd,nd,nd,80.8790,nd,nd,0.4733,nd,nd,nd,nd,nd,nd,nd,0.0600,0.1013,nd,pXRF,,
74,SEALIP/LA/PBL/25,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Axe,nd,nd,13.7803,nd,nd,nd,nd,0.0240,0.0227,0.0127,nd,nd,nd,0.0733,nd,nd,nd,53.2733,nd,nd,nd,nd,nd,nd,nd,32.0037,nd,nd,0.6220,0.5575,nd,pXRF,,
75,SEALIP/LA/PBL/26,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Axe,nd,nd,7.1650,nd,nd,nd,nd,nd,nd,nd,nd,0.0397,nd,0.0873,nd,nd,nd,92.3397,nd,nd,0.1457,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
76,SEALIP/LA/PBL/27,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Rod Fragment,nd,nd,25.9140,0.0090,nd,nd,nd,nd,nd,nd,nd,0.2123,nd,0.0833,nd,nd,nd,73.3297,nd,nd,nd,nd,nd,nd,nd,nd,0.2467,nd,0.0980,nd,nd,pXRF,,
77,SEALIP/LA/PBL/28,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Adze,nd,0.0130,12.4480,0.1260,nd,nd,nd,nd,nd,nd,nd,0.0540,nd,0.0800,nd,nd,nd,64.5980,nd,nd,2.0113,0.0373,nd,nd,nd,8.5363,nd,nd,nd,12.0103,nd,pXRF,Corroded,
78,SEALIP/LA/PBL/29,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Axe,nd,0.0497,18.1053,0.0633,nd,nd,nd,nd,nd,nd,nd,0.0503,nd,0.1233,nd,nd,0.1113,80.9513,nd,nd,0.2427,nd,nd,nd,0.2197,nd,0.0310,nd,nd,nd,nd,pXRF,,
79,SEALIP/LA/PBL/30,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Axe,nd,nd,30.1790,nd,nd,nd,nd,nd,nd,nd,nd,0.1343,nd,0.3510,nd,nd,nd,67.9150,nd,nd,0.3263,nd,nd,nd,nd,nd,nd,nd,0.0183,1.0437,nd,pXRF,,
80,SEALIP/LA/PBL/31,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Spearhead,nd,nd,10.0613,nd,nd,nd,nd,nd,nd,nd,0.0023,0.0217,nd,0.0600,nd,nd,nd,89.7530,nd,nd,0.0250,nd,nd,nd,0.0693,nd,nd,nd,nd,nd,nd,pXRF,,
81,SEALIP/LA/PBL/32,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Bowtie ingot ,nd,nd,nd,nd,nd,nd,nd,0.0047,nd,nd,0.0137,0.0997,nd,0.0497,nd,nd,nd,99.2820,nd,nd,0.5437,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
82,SEALIP/LA/PBL/33,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Bowtie ingot ,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0267,0.1077,nd,0.0690,nd,nd,0.0243,99.4530,0.0113,nd,0.2067,nd,nd,nd,nd,nd,nd,nd,nd,0.0580,nd,pXRF,,
83,SEALIP/LA/PBL/34,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Bowtie ingot ,nd,nd,nd,nd,nd,nd,nd,0.0047,0.0037,nd,nd,0.0587,nd,0.0880,nd,nd,0.1280,99.0403,nd,nd,0.5100,nd,nd,nd,nd,nd,nd,nd,nd,0.0607,nd,pXRF,,
84,SEALIP/LA/PBL/35,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Bowtie ingot ,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0097,nd,0.0097,0.0363,nd,nd,0.0803,99.7700,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,Corroded,
85,SEALIP/LA/PBL/36,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Bowtie ingot ,nd,nd,nd,nd,nd,nd,nd,0.0097,0.0027,nd,0.0047,0.0323,nd,0.0630,nd,nd,0.0173,99.5507,nd,nd,0.1540,nd,nd,nd,nd,nd,nd,nd,nd,0.1143,nd,pXRF,,
86,SEALIP/LA/PBL/37,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Bowtie ingot ,nd,0.0213,0.0140,nd,nd,nd,nd,nd,nd,nd,0.0287,0.0103,0.0230,0.0303,nd,nd,0.0810,99.3910,nd,nd,0.1357,nd,nd,0.0290,0.0607,nd,0.1127,nd,nd,nd,nd,pXRF,Corroded,
87,SEALIP/LA/PBL/38,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Axe,nd,nd,16.7297,nd,nd,nd,nd,nd,nd,nd,0.0087,0.0440,nd,0.1207,nd,nd,0.0517,82.1977,nd,nd,nd,nd,nd,nd,0.1347,nd,nd,nd,0.2243,0.4810,nd,pXRF,,
88,SEALIP/LA/PBL/39,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Bowtie ingot ,nd,0.0657,0.0323,0.0160,nd,nd,nd,nd,nd,nd,0.0250,0.0030,nd,0.0280,nd,nd,nd,99.5757,nd,nd,0.0353,nd,0.0140,0.0483,0.0887,nd,nd,nd,nd,nd,nd,pXRF,Corroded,
89,SEALIP/LA/PBL/40,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Bowtie ingot ,nd,nd,nd,nd,nd,nd,nd,0.0360,0.0317,0.0060,nd,0.0323,nd,0.0767,nd,nd,nd,99.5683,nd,nd,0.1453,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
90,SEALIP/LA/PBL/41,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,fragment,nd,nd,13.9583,nd,nd,nd,nd,nd,nd,nd,nd,0.0310,nd,0.0620,nd,nd,nd,85.8627,nd,nd,0.0380,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
91,SEALIP/LA/PBL/42,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Conical ingot,nd,0.0073,0.0033,nd,nd,nd,nd,0.0013,nd,nd,nd,0.0157,0.0050,0.0000,nd,nd,nd,74.8923,nd,nd,0.1833,nd,nd,0.0137,0.0173,nd,24.7597,nd,nd,nd,nd,pXRF,,
92,SEALIP/LA/PBL/43,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,fragment,nd,nd,12.3440,nd,nd,nd,nd,nd,nd,nd,nd,0.0155,nd,0.0265,nd,nd,nd,87.3798,0.0260,nd,nd,nd,nd,nd,nd,nd,0.1060,nd,nd,nd,nd,pXRF,,
93,SEALIP/LA/PBL/44,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Axe,nd,nd,26.0370,0.0313,nd,nd,nd,nd,nd,nd,nd,0.0860,nd,0.2003,nd,nd,nd,69.4957,nd,nd,3.3660,0.0777,nd,nd,nd,nd,nd,nd,nd,0.6837,nd,pXRF,,
94,SEALIP/LA/PBL/45,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Axe,nd,nd,10.4263,nd,nd,nd,nd,0.0043,0.0030,nd,nd,0.0673,nd,0.1080,nd,nd,0.0260,87.9143,nd,nd,0.1390,nd,nd,nd,nd,nd,nd,nd,nd,1.2973,nd,pXRF,,
95,SEALIP/LA/PBL/46,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Knife,nd,0.0220,12.7947,0.0310,nd,nd,nd,nd,nd,nd,0.1837,0.0170,nd,0.1587,nd,nd,nd,86.4733,nd,nd,nd,nd,nd,nd,0.0873,nd,0.1477,nd,nd,0.0360,nd,pXRF,,
96,SEALIP/LA/PBL/47,Early Iron Age,400 - 100 BC,Puen Baolo,105.925631, 16.951142,cemetery/settlement/copper smelting,Savannakhet Province,Laos,Bowtie ingot ,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0000,nd,0.0250,nd,nd,nd,99.6420,nd,nd,0.2147,nd,nd,nd,nd,nd,nd,nd,nd,0.0863,nd,pXRF,,
97,SEALIP/LA/TNN/3,Early Iron Age,400 - 100 BC,Thong Na Nguak,106.000893,16.971067,,Savannakhet Province,Laos,Conical ingot,nd,0.0100,nd,nd,nd,0.0150,nd,nd,nd,nd,nd,0.1600,nd,nd,nd,nd,nd,99.5515,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Metal,
98,SEALIP/LA/TNN/4,Early Iron Age,400 - 100 BC,Thong Na Nguak,106.000893,16.971067,,Savannakhet Province,Laos,Conical ingot,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.1863,nd,0.0318,nd,nd,0.2890,98.1322,0.0282,nd,0.0653,nd,nd,nd,nd,nd,1.1265,nd,0.0173,0.1057,nd,pXRF,,
99,SEALIP/LA/TPP/1,Early Bronze Age,1100 - 1000 BC,Tham Pà Ping,103.409722, 20.208611,burial,Houaphan Province,Laos,Axe,nd,nd,nd,nd,nd,0.3877,nd,0.0100,0.0090,0.0203,2.0627,0.1147,0.0340,11.5130,nd,nd,nd,84.9373,0.0285,nd,nd,nd,nd,nd,nd,nd,0.8753,nd,nd,nd,nd,pXRF,,
100,SEALIP/LA/VC/1,Iron Age (villager finds),400 BC - AD 300,Vilabouly Complex,105.949639,16.972217,villagers' collections,Savannakhet Province,Laos,pseudo ge,nd,nd,4.2820,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0157,nd,nd,nd,95.5730,nd,nd,0.1233,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
101,SEALIP/LA/VC/2,Iron Age (villager finds),400 BC - AD 300,Vilabouly Complex,105.949639,16.972217,villagers' collections,Savannakhet Province,Laos,pseudo ge,nd,nd,5.9073,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0170,nd,nd,nd,94.0067,nd,nd,0.0577,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
102,SEALIP/LA/VC/3,Iron Age (villager finds),400 BC - AD 300,Vilabouly Complex,105.949639,16.972217,villagers' collections,Savannakhet Province,Laos,pseudo ge,nd,nd,1.5737,nd,nd,nd,nd,0.0113,0.0115,nd,nd,nd,nd,0.0170,nd,nd,nd,97.8887,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.4720,nd,pXRF,,
103,SEALIP/LA/VC/4,Iron Age (villager finds),400 BC - AD 300,Vilabouly Complex,105.949639,16.972217,villagers' collections,Savannakhet Province,Laos,top ingot,nd,nd,nd,nd,nd,nd,nd,0.0033,nd,nd,nd,0.0477,nd,0.0243,nd,nd,nd,98.6267,nd,nd,nd,nd,nd,nd,nd,nd,1.1403,nd,nd,0.1070,nd,pXRF,,
104,SEALIP/LA/VC/5,Iron Age (villager finds),400 BC - AD 300,Vilabouly Complex,105.949639,16.972217,villagers' collections,Savannakhet Province,Laos,middle ingot,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0963,nd,0.0083,nd,nd,0.0860,98.6393,0.0063,nd,0.0133,nd,nd,0.0090,nd,nd,1.0507,nd,nd,nd,nd,pXRF,,
105,SEALIP/LA/VC/6,Iron Age (villager finds),400 BC - AD 300,Vilabouly Complex,105.949639,16.972217,villagers' collections,Savannakhet Province,Laos,bottom ingot,nd,0.0480,0.0247,0.0033,nd,nd,nd,nd,nd,nd,nd,0.0360,nd,0.0163,nd,nd,0.1627,98.4110,0.0123,nd,0.0120,nd,0.0127,0.0397,0.0760,nd,1.1350,nd,nd,nd,nd,pXRF,,
106,SEALIP/LA/VC/7,Iron Age (villager finds),400 BC - AD 300,Vilabouly Complex,105.949639,16.972217,villagers' collections,Savannakhet Province,Laos,top ingot,nd,nd,nd,nd,nd,nd,nd,0.0023,nd,nd,nd,0.0900,nd,0.0370,nd,nd,0.1383,98.1440,nd,nd,0.0497,nd,nd,nd,nd,nd,1.0010,nd,nd,0.5327,nd,pXRF,,
107,SEALIP/LA/VC/8,Iron Age (villager finds),400 BC - AD 300,Vilabouly Complex,105.949639,16.972217,villagers' collections,Savannakhet Province,Laos,bottom ingot,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0533,nd,0.0130,nd,nd,0.1707,98.5420,nd,nd,nd,nd,nd,nd,nd,nd,1.0387,nd,nd,0.1307,nd,pXRF,,
108,SEALIP/LA/VC/9,Iron Age (villager finds),400 BC - AD 300,Vilabouly Complex,105.949639,16.972217,villagers' collections,Savannakhet Province,Laos,anklet bell,nd,0.1740,3.0907,nd,nd,nd,nd,nd,nd,nd,0.2380,4.2687,nd,0.5500,0.0357,nd,0.1750,91.4127,0.0427,nd,0.0040,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
109,SEALIP/LA/VC/10,Iron Age (villager finds),400 BC - AD 300,Vilabouly Complex,105.949639,16.972217,villagers' collections,Savannakhet Province,Laos,anklet bell,nd,0.2210,18.9270,0.0237,nd,0.2920,nd,nd,nd,0.0117,0.3640,11.9010,nd,1.5973,nd,nd,0.1053,64.3760,0.0480,nd,0.0510,nd,nd,nd,0.2110,0.7287,nd,nd,0.3320,0.6187,nd,pXRF,Corroded,
110,SEALIP/LA/VC/11,Iron Age (villager finds),400 BC - AD 300,Vilabouly Complex,105.949639,16.972217,villagers' collections,Savannakhet Province,Laos,anklet bell,nd,0.4173,5.1450,0.0257,nd,0.2910,nd,nd,nd,0.0060,0.3823,9.9843,nd,0.5820,nd,nd,0.1150,81.9107,0.0063,nd,0.0443,nd,nd,0.0140,0.1077,0.1990,nd,nd,0.4143,nd,nd,pXRF,Corroded,
111,SEALIP/LA/VC/12,Iron Age (villager finds),400 BC - AD 300,Vilabouly Complex,105.949639,16.972217,villagers' collections,Savannakhet Province,Laos,drum,nd,0.0397,7.7533,nd,nd,nd,nd,nd,nd,0.0113,nd,20.5663,nd,nd,nd,nd,nd,70.4603,0.0225,nd,0.4120,nd,nd,nd,0.1267,0.8010,nd,nd,nd,nd,nd,pXRF,,
112,SEALIP/LA/VC/13,Iron Age (villager finds),400 BC - AD 300,Vilabouly Complex,105.949639,16.972217,villagers' collections,Savannakhet Province,Laos,massive drum,36.9000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,45.2000,nd,nd,1.5000,nd,4.9000,nd,nd,nd,nd,nd,nd,10.2000,nd,SEM-EDS,Corroded,
113,KKH-B,Mid Iron Age (Myanmar),200 - 100 BC,Kokkokhahla,96.028220, 21.091169,Yangon University Museum,,Myanmar,bangle,nd,nd,nd,nd,nd,0.3000,nd,nd,nd,nd,0.6000,nd,nd,3.5000,nd,nd,nd,82.7000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
114,KKH-S,Mid Iron Age (Myanmar),200 - 100 BC,Kokkokhahla,96.028220, 21.091169,U Soe Naing collection,,Myanmar,sword scabbard throat (locket) fragment,nd,nd,24.7600,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,57.4000,nd,nd,nd,nd,nd,nd,nd,nd,0.2700,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
115,KKH-W,Mid Iron Age (Myanmar),200 - 100 BC,Kokkokhahla,96.028220, 21.091169,Yangon University Museum,Sagaing Division,Myanmar,wire bundle,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,98.1400,nd,nd,0.3400,nd,nd,nd,nd,nd,1.1000,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
116,MOH-S,Iron Age,500 - 100 BC,Myin Oo Hle, 95.538034, 21.119677,Yangon University Museum,Sagaing Division,Myanmar,spearhead fragment,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,80.9000,nd,nd,1.9000,nd,nd,nd,nd,nd,1.9000,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
117,NG- 6-1,Early-mid Bronze Age,1000 - 700 BC,"""Oakaie""", 95.051987, 22.403892,Yangon University Museum,Sagaing Division,Myanmar,fragment,nd,nd,4.1400,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,95.4000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
118,NG- 6-2,Early-mid Bronze Age,1000 - 700 BC,"""Oakaie""", 95.051987, 22.403892,Yangon University Museum,Sagaing Division,Myanmar,fragment,nd,nd,17.1000,nd,nd,nd,nd,nd,nd,nd,nd,0.8700,nd,nd,nd,nd,nd,82.8000,nd,nd,nd,nd,nd,nd,nd,nd,0.0600,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
119,NG- 6-3,Early-mid Bronze Age,1000 - 700 BC,"""Oakaie""", 95.051987, 22.403892,Yangon University Museum,Sagaing Division,Myanmar,fragment,nd,nd,5.1000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,94.9000,nd,nd,nd,nd,nd,nd,nd,nd,0.3000,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
120,NG- 6-4,Early-mid Bronze Age,1000 - 700 BC,"""Oakaie""", 95.051987, 22.403892,Yangon University Museum,Sagaing Division,Myanmar,fragment,nd,nd,11.1000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,72.1000,nd,nd,nd,nd,nd,nd,nd,nd,0.3000,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
121,NG-V,Early-mid Bronze Age,1000 - 700 BC,"""Oakaie""", 95.051987, 22.403892,villagers' collections,Sagaing Division,Myanmar,arrowhead,nd,nd,0.3000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,99.7000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
122,SEALIP/MY/HL28/1,Early Iron Age,500 - 100 BC,Halin, 95.799608,22.455975,cemetery,Sagaing Division,Myanmar,wire bundle,4.6633,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,93.4467,nd,nd,0.1567,nd,nd,nd,nd,nd,1.3633,0.2933,nd,0.0767,nd,SEM-EDS,,
123,SEALIP/MY/HL28/2,Early Iron Age,500 - 100 BC,Halin, 95.799608,22.455975,cemetery,Sagaing Division,Myanmar,wire bundle,nd,nd,nd,nd,nd,nd,nd,0.0403,0.0375,nd,nd,nd,nd,0.0367,nd,nd,nd,99.1213,nd,nd,0.7560,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
124,SEALIP/MY/HL28/3,Early Iron Age,500 - 100 BC,Halin, 95.799608,22.455975,cemetery,Sagaing Division,Myanmar,wire bundle,1.1700,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,97.5300,nd,nd,0.3967,nd,nd,nd,nd,nd,0.8833,nd,nd,0.0200,nd,SEM-EDS,,
125,SEALIP/MY/HL28/4,Early Iron Age,500 - 100 BC,Halin, 95.799608,22.455975,cemetery,Sagaing Division,Myanmar,wire bundle multi,nd,nd,nd,nd,nd,nd,nd,0.0175,nd,nd,nd,nd,nd,0.0283,nd,nd,nd,99.5097,nd,nd,0.4430,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
126,SEALIP/MY/HL28/5,Early Iron Age,500 - 100 BC,Halin, 95.799608,22.455975,cemetery,Sagaing Division,Myanmar,wire bundle multi,nd,nd,nd,nd,nd,nd,nd,0.0130,nd,nd,nd,nd,nd,0.0120,nd,nd,nd,98.7637,nd,nd,0.3523,nd,nd,nd,nd,nd,0.8083,nd,nd,nd,nd,pXRF,,
127,SEALIP/MY/HL28/6,Early Iron Age,500 - 100 BC,Halin, 95.799608,22.455975,cemetery,Sagaing Division,Myanmar,wire bundle multi,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0215,nd,nd,nd,97.5343,nd,nd,0.4963,nd,nd,nd,nd,nd,1.1523,nd,nd,0.7773,nd,pXRF,,
128,SEALIP/MY/HL28/7,Early Iron Age,500 - 100 BC,Halin, 95.799608,22.455975,cemetery,Sagaing Division,Myanmar,wire bundle,nd,nd,nd,nd,nd,nd,nd,0.0177,0.0130,nd,nd,nd,nd,0.0227,nd,nd,nd,99.5400,nd,nd,0.4047,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
129,SEALIP/MY/HL28/8,Early Iron Age,500 - 100 BC,Halin, 95.799608,22.455975,cemetery,Sagaing Division,Myanmar,wire bundle,1.2067,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,97.1733,nd,nd,0.4600,nd,nd,nd,nd,nd,1.0700,nd,nd,0.0867,nd,SEM-EDS,,
130,SEALIP/MY/HL28/9,Early Iron Age,500 - 100 BC,Halin, 95.799608,22.455975,cemetery,Sagaing Division,Myanmar,wire bundle,1.8167,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,96.1100,nd,nd,0.2967,nd,nd,nd,nd,nd,1.0800,0.4067,nd,0.2933,nd,SEM-EDS,,
131,SEALIP/MY/HL28/10,Early Iron Age,500 - 100 BC,Halin, 95.799608,22.455975,cemetery,Sagaing Division,Myanmar,possible casting spillage,17.4950,nd,15.7350,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,66.2800,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.3700,0.1200,0.2150,nd,SEM-EDS,corroded,
132,SEALIP/MY/HL28/11,Early Iron Age,500 - 100 BC,Halin, 95.799608,22.455975,cemetery,Sagaing Division,Myanmar,wire bundle,nd,nd,nd,nd,nd,nd,nd,0.0195,0.0130,nd,nd,nd,nd,0.0250,nd,nd,nd,99.1947,nd,nd,0.7537,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
133,SEALIP/MY/HL28/12,Early Iron Age,500 - 100 BC,Halin, 95.799608,22.455975,cemetery,Sagaing Division,Myanmar,large bell/rattle,nd,nd,4.5207,nd,nd,nd,nd,0.0117,0.0100,nd,nd,nd,nd,0.0120,nd,nd,nd,92.6930,nd,nd,0.1173,nd,nd,nd,nd,nd,nd,nd,nd,2.6373,nd,pXRF,,
134,SEALIP/MY/HL28/13,Early Iron Age,500 - 100 BC,Halin, 95.799608,22.455975,cemetery,Sagaing Division,Myanmar,small bell/rattle,nd,nd,nd,nd,nd,nd,nd,0.0857,0.0577,nd,nd,nd,nd,nd,nd,nd,nd,99.4253,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
135,SEALIP/MY/HL28/14,Early Iron Age,500 - 100 BC,Halin, 95.799608,22.455975,cemetery,Sagaing Division,Myanmar,small bell/rattle,nd,nd,4.2000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,80.3000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,SEM-EDS,,
136,SEALIP/MY/HL28/15,Early Iron Age,500 - 100 BC,Halin, 95.799608,22.455975,cemetery,Sagaing Division,Myanmar,small bell/rattle,nd,nd,4.2000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,83.4000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,SEM-EDS,,
137,SEALIP/MY/HL28/16,Early Iron Age,500 - 100 BC,Halin, 95.799608,22.455975,cemetery,Sagaing Division,Myanmar,small bell/rattle,nd,nd,1.2483,nd,nd,nd,nd,0.0153,0.0120,nd,nd,nd,nd,0.0143,nd,nd,nd,97.9950,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.7113,nd,pXRF,,
138,SEALIP/MY/HL28/17,Early Iron Age,500 - 100 BC,Halin, 95.799608,22.455975,cemetery,Sagaing Division,Myanmar,small bell/rattle,nd,nd,11.0133,nd,nd,nd,nd,0.0447,0.0357,0.0147,nd,nd,nd,0.0303,nd,nd,nd,88.2477,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.6070,nd,pXRF,,
