id,LABEL analytical,local/regional cultural attribution (can vary a lot!),absolute period,Site,Easting - Longitude,Northing-Latitude,Type of site/context,Region,Country,Artefact type,O,Sb,Sn,Cd,Pd,Ag,Ru,Mo,Nb,Zr,Bi,Pb,Se,As,Au,W,Zn,Cu,Ni,Co,Fe,Mn,Cr,V,Ti,Al,S,Cl,P,Si,Mg,Analytical technique,Corrosion products,
140,SEALIP/MY/HL29/1,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,pseudo spearhead,0.0001,0.0001,1.5000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,97.8000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,SEM-EDS,,
141,SEALIP/MY/HL29/2,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,pseudo spearhead,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0790,0.0001,0.0350,0.0001,0.0001,0.0001,96.6990,0.0001,0.0001,1.6980,0.0001,0.0001,0.0001,0.0001,0.0001,0.2080,0.0001,0.0001,1.2790,0.0001,pXRF,,
142,SEALIP/MY/HL29/3,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,pseudo spearhead,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0790,0.0001,0.0240,0.0001,0.0001,0.0001,99.4737,0.0001,0.0001,0.4920,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,pXRF,,
143,SEALIP/MY/HL29/4,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,axe,20.2367,0.0001,5.4267,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,63.6233,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,10.5967,0.0001,0.1167,0.0001,SEM-EDS,corroded,
144,SEALIP/MY/HL29/5,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,axe,50.2100,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,7.3467,0.0001,0.0001,5.2533,0.0001,0.0001,0.0001,0.0001,8.0867,0.0001,0.4933,0.0001,22.5567,2.2267,SEM-EDS,Corroded,
145,SEALIP/MY/HL29/6,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,asymmetric curved axe,0.0001,0.0001,11.4207,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,88.1127,0.0247,0.0001,0.0177,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,pXRF,,
146,SEALIP/MY/HL29/7,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,spearhead,0.0001,0.0001,15.9147,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.6023,0.0001,0.0001,0.0001,0.0001,0.0001,82.8743,0.0001,0.0001,0.0001,0.0001,0.0903,0.0230,0.1163,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,pXRF,,
147,SEALIP/MY/HL29/8,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,spearhead,0.0001,0.0001,5.2073,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0673,0.0001,0.3953,0.0001,0.0001,0.0001,0.0001,0.0001,91.4887,0.0001,0.0001,1.6103,0.0001,0.1397,0.0933,0.2710,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,pXRF,,
148,SEALIP/MY/HL29-1/1,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,bangle,0.0001,0.0001,10.8057,0.0623,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.3613,0.0001,0.0647,0.0001,0.0001,0.2613,87.1210,0.0001,0.0001,0.9713,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.3363,0.0001,pXRF,,
149,SEALIP/MY/HL29-1/2,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,bangle,0.0001,0.0001,9.7890,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0047,0.2193,0.0001,0.0643,0.0001,0.0001,0.1383,87.0593,0.0001,0.0001,2.3387,0.0001,0.0001,0.0001,0.0001,0.0001,0.1450,0.0001,0.0001,0.2267,0.0001,pXRF,,
150,SEALIP/MY/HL29-1/3,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,bangle,0.0001,0.0001,8.5707,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0140,0.1363,0.0001,0.1077,0.0001,0.0001,0.1207,90.8603,0.0001,0.0001,0.0813,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.1280,0.0001,pXRF,,
151,SEALIP/MY/HL29-1/4,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,bangle (double line),0.0001,0.0001,6.8567,0.0001,0.0001,0.0001,0.0001,0.0060,0.0001,0.0001,0.0001,0.3010,0.0001,0.0587,0.0001,0.0001,0.3560,86.4193,0.0001,0.0265,4.3170,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.6653,0.0001,pXRF,,
152,SEALIP/MY/HL29-1/5,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,axe,16.4133,0.0001,6.4667,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,73.2733,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0533,1.2000,0.8667,1.1350,0.9767,0.0001,SEM-EDS,corroded,
153,SEALIP/MY/HL29-1/6,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,flat ring,0.0001,0.0001,1.9697,0.0001,0.0001,0.0001,0.0001,0.0100,0.0001,0.0001,0.0001,0.0937,0.0001,0.0001,0.0001,0.0001,0.0685,97.8720,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,pXRF,,
154,SEALIP/MY/HL29-1/7,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,spiral square section ring,0.0001,0.0001,5.7530,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0457,0.0607,0.0001,0.1097,0.0001,0.0001,0.0527,93.8733,0.0001,0.0001,0.1040,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,pXRF,,
155,SEALIP/MY/HL29-1/8,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,ring,0.0001,0.1157,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.5240,0.0001,0.0001,0.0001,0.0001,0.0001,96.3750,0.0001,0.0001,0.1357,0.0001,0.1370,0.0493,0.0223,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,pXRF,,
156,SEALIP/MY/HL30-1/1,Mid Bronze Age,800-700 BC,Halin, 95.805538, 22.455223,cemetery,Sagaing Division,Myanmar,ring,0.0001,0.0001,9.5230,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.2303,0.0001,0.0001,0.0001,0.0001,0.0001,89.2913,0.0001,0.0001,0.6320,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,pXRF,,
157,SEALIP/MY/HLTP1/1,Bagan,AD 1000-1200,Halin, 95.801888, 22.444580,settlement,Sagaing Division,Myanmar,platy fragment,0.0001,1.5247,29.3010,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0660,0.0001,0.0001,0.0001,0.0001,0.0001,67.5633,0.0001,0.0001,0.7883,0.0001,0.0001,0.0001,0.2180,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,pXRF,,
158,SEALIP/MY/HLTP1/2,Bagan,AD 1000-1200,Halin, 95.801888, 22.444580,settlement,Sagaing Division,Myanmar,ring fragment,0.0001,0.4143,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0060,0.1400,1.3543,0.0001,0.0001,0.0001,0.0001,0.0560,97.0987,0.0001,0.0001,0.1000,0.0001,0.0637,0.0323,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,pXRF,,
159,SEALIP/MY/HTP/1,Iron Age,500 BC - AD 100,Htan Ta Bin, 95.996184, 20.591653,Mandalay museum,Mandalay Division,Myanmar,bowl fragment,0.0001,0.0001,8.9320,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,89.4220,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.1400,0.0001,0.0001,0.0001,0.0001,UCL Qatar SEM-EDS,,
160,SEALIP/MY/KGG/1,Early Iron Age,500 - 100 BC,Kan Gyi Gon, 95.809166, 20.791384,cemetery,Magway Division,Myanmar,wire bundle,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,99.5475,0.0610,0.0001,0.3170,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Mannheim XRF,,
161,SEALIP/MY/LPDT/1,modern,AD 2015,Letpadaungtaung mine,95.096884,22.082657,modern Cu mine,Sagaing Division,Myanmar,"modern copper ingot, Monywa",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,100.0000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Mannheim XRF,,
162,SEALIP/MY/MH/1,Early Iron Age,500 - 100 BC,Myo Hla,96.266894,19.403929,cemetery,Bago Division,Myanmar,vase,0.0001,0.0001,13.1000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,74.1000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Rennes SEM-EDS,,
163,SEALIP/MY/MHT/1,Bronze Age,1000 - 500 BC,Mon Htoo, 95.226852, 22.340746,villagers' collections,Sagaing Division,Myanmar,fragment,0.0001,0.0001,23.3000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,60.1000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.1000,0.0001,0.0001,0.0001,0.0001,UCL Qatar SEM-EDS,,
164,SEALIP/MY/MHT/2,Bronze Age,1000 - 500 BC,Mon Htoo, 95.226852, 22.340746,villagers' collections,Sagaing Division,Myanmar,platy fragment,0.0001,0.0001,22.4000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,68.9000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.2000,0.0001,0.0001,0.0001,0.0001,UCL Qatar SEM-EDS,,
165,SEALIP/MY/MHT/3,Bronze Age,1000 - 500 BC,Mon Htoo, 95.226852, 22.340746,villagers' collections,Sagaing Division,Myanmar,ring frag,0.0001,0.0001,7.7000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,88.5000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.2000,0.0001,0.0001,0.0001,0.0001,UCL Qatar SEM-EDS,,
166,SEALIP/MY/MLW/1,Mid Iron Age,300 - 100 BC,Maliwan, 98.623468, 10.324234,,Thanintharyi Division,Myanmar,,0.0001,0.0607,7.5870,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0043,0.1163,13.4473,0.0001,0.4880,0.0001,0.0001,0.0001,78.1490,0.0563,0.0001,0.0001,0.0001,0.0001,0.0001,0.0853,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,pXRF,,
167,SEALIP/MY/MLW/2,Mid Iron Age,300 - 100 BC,Maliwan, 98.623468, 10.324234,,Thanintharyi Division,Myanmar,,0.0001,0.6620,19.3923,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.1243,3.5323,0.0001,0.5767,0.0270,0.0001,0.0001,74.9777,0.1133,0.0900,0.4330,0.0001,0.0001,0.0001,0.1430,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,pXRF,,
168,SEALIP/MY/MLW/3,Mid Iron Age,300 - 100 BC,Maliwan, 98.623468, 10.324234,,Thanintharyi Division,Myanmar,,0.0001,0.0001,0.0513,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0030,0.6907,0.0250,0.0001,0.0150,0.0001,0.0001,0.0001,98.3530,0.0001,0.0001,0.0523,0.0001,0.0001,0.0001,0.0001,0.0001,0.7853,0.0001,0.0001,0.0001,0.0001,pXRF,,
169,SEALIP/MY/MOH/1,Iron Age,500 - 100 BC,Myin Oo Hle, 95.538034, 21.119677,Yangon University Museum,Mandalay Division,Myanmar,bell fragment,0.0001,0.0001,6.4000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,90.1000,0.0001,0.0001,1.2000,0.0001,0.0001,0.0001,0.0001,0.0001,0.5000,0.0001,0.0001,0.0001,0.0001,UCL Qatar SEM-EDS,,
170,SEALIP/MY/MT/1,Iron Age,500 - 100 BC,Myinthe, 95.876616, 21.789439,U Soe Naing collection,Mandalay Division,Myanmar,spearhead fragment,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,98.7000,0.0001,0.0001,0.1000,0.0001,0.0001,0.0001,0.0001,0.0001,0.5000,0.0001,0.0001,0.2000,0.0001,UCL Qatar SEM-EDS,,
171,SEALIP/MY/NGO/1,Early Iron Age,500 - 100 BC,Nyaung Gon, 95.059942, 22.411151,cemetery,Mandalay Division,Myanmar,wire bundle,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,99.7240,0.0001,0.0001,0.1500,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Mannheim XRF,,
172,SEALIP/MY/NGO/10,Early Iron Age,500 - 100 BC,Nyaung Gon, 95.059942, 22.411151,cemetery,Mandalay Division,Myanmar,wire bundle,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,99.7605,0.0001,0.0001,0.1360,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Mannheim XRF,,
173,SEALIP/MY/NGO/2,Early Iron Age,500 - 100 BC,Nyaung Gon, 95.059942, 22.411151,cemetery,Mandalay Division,Myanmar,wire bundle,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0575,0.0001,0.0001,0.0001,0.0001,0.0001,99.3085,0.0001,0.0001,0.5570,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Mannheim XRF,,
174,SEALIP/MY/NGO/3,Early Iron Age,500 - 100 BC,Nyaung Gon, 95.059942, 22.411151,cemetery,Mandalay Division,Myanmar,wire bundle,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,99.6840,0.0001,0.0001,0.2280,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Mannheim XRF,,
175,SEALIP/MY/NGO/4,Early Iron Age,500 - 100 BC,Nyaung Gon, 95.059942, 22.411151,cemetery,Mandalay Division,Myanmar,wire bundle,0.0001,0.0001,0.0690,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,99.6275,0.0001,0.0001,0.1785,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Mannheim XRF,,
176,SEALIP/MY/NGO/5,Early Iron Age,500 - 100 BC,Nyaung Gon, 95.059942, 22.411151,cemetery,Mandalay Division,Myanmar,wire bundle,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,99.5535,0.0001,0.0001,0.3390,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Mannheim XRF,,
177,SEALIP/MY/NGO/6,Early Iron Age,500 - 100 BC,Nyaung Gon, 95.059942, 22.411151,cemetery,Mandalay Division,Myanmar,wire bundle,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.1305,0.0001,0.0001,0.0001,0.0001,0.0001,99.3250,0.0001,0.0001,0.4270,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Mannheim XRF,,
178,SEALIP/MY/NGO/7,Early Iron Age,500 - 100 BC,Nyaung Gon, 95.059942, 22.411151,cemetery,Mandalay Division,Myanmar,wire bundle,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,99.2745,0.0001,0.0001,0.5760,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Mannheim XRF,,
179,SEALIP/MY/NGO/8,Early Iron Age,500 - 100 BC,Nyaung Gon, 95.059942, 22.411151,cemetery,Mandalay Division,Myanmar,wire bundle,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,99.6145,0.0001,0.0001,0.2235,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Mannheim XRF,,
180,SEALIP/MY/NGO/9,Early Iron Age,500 - 100 BC,Nyaung Gon, 95.059942, 22.411151,cemetery,Mandalay Division,Myanmar,wire bundle,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0945,0.0001,0.0001,0.0001,0.0001,0.0001,98.6995,0.0705,0.0001,0.9955,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Mannheim XRF,,
181,SEALIP/MY/NGO/10,Early Iron Age,500 - 100 BC,Nyaung Gon, 95.059942, 22.411151,cemetery,Mandalay Division,Myanmar,wire bundle,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,99.7605,0.0001,0.0001,0.1360,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Mannheim XRF,,
182,SEALIP/MY/NYG/1,Early Bronze Age,1000 - 800 BC,Nyaung'gan, 95.059942, 22.411151,cemetery,Sagaing Division,Myanmar,arrow/spear head,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,24.5000,0.0001,0.0001,0.0001,0.0001,0.0001,77.5320,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,UCL Qatar SEM-EDS,,
183,SEALIP/MY/OAI/1,Early-Mid Bronze Age,1000 - 700 BC,"""Oakaie""", 95.051987, 22.403892,Yangon University Museum,Sagaing Division,Myanmar,circular fragment,0.0001,2.1000,4.5000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.7467,0.0001,0.0001,0.0001,92.8000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0600,0.0001,0.0001,0.0001,0.0001,UCL Qatar SEM-EDS,,
184,SEALIP/MY/OAI/2,Early-Mid Bronze Age,1000 - 700 BC,"""Oakaie""", 95.051987, 22.403892,Yangon University Museum,Sagaing Division,Myanmar,platy fragments,0.0001,0.0001,15.9300,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.2940,0.0001,0.0001,0.0001,0.0001,0.0001,52.3400,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,UCL Qatar SEM-EDS,,
185,SEALIP/MY/OAI1/1,Early Bronze Age,1000 - 800 BC,Oakaie 1,95.049182, 22.390086,cemetery,Sagaing Division,Myanmar,axe,0.0001,0.0001,3.7000,0.0001,0.0001,0.0520,0.0001,0.0001,0.0001,0.0001,0.0001,0.1100,0.0001,0.0500,0.0001,0.0001,0.0001,95.0000,0.0600,0.5200,0.2900,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Mannheim XRF,,
186,SEALIP/MY/OAI2/1,Early Bronze Age,1000 - 800 BC,Oakaie 2, 95.041954, 22.390500,settlement,Sagaing Division,Myanmar,rod,0.0001,0.0001,3.3300,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,94.7740,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.1300,0.0001,0.0001,0.0001,0.0001,UCL Qatar SEM-EDS,,
187,SEALIP/MY/OAI3/2,Early Bronze Age,1000 - 800 BC,Oakaie 3, 95.040290,22.389254,settlement/industry,Sagaing Division,Myanmar,bracelet frag,0.0001,0.0001,6.0750,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,92.8975,0.0001,0.0001,0.2075,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,UCL Qatar SEM-EDS,,
188,SEALIP/MY/OAI3/3,Early Bronze Age,1000 - 800 BC,Oakaie 3, 95.040290,22.389254,settlement/industry,Sagaing Division,Myanmar,ring frag,0.0001,0.0001,11.9500,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.3580,0.0001,0.0001,0.9180,0.0001,0.0001,0.0001,65.3400,0.0001,0.0001,0.1450,0.0001,0.0001,0.0001,0.0001,0.0001,0.2440,0.0001,0.3900,0.1880,0.0001,UCL Qatar SEM-EDS,,
189,SEALIP/MY/OAI3/4,Early Bronze Age,1000 - 800 BC,Oakaie 3, 95.040290,22.389254,settlement/industry,Sagaing Division,Myanmar,bracelet frag,0.0001,0.0001,15.4900,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,52.8640,0.0001,0.0001,0.2400,0.0001,0.0001,0.0001,0.0001,0.0001,0.1140,0.0001,0.2480,1.2800,0.0001,UCL Qatar SEM-EDS,,
190,SEALIP/MY/OAI3/5,Early Bronze Age,1000 - 800 BC,Oakaie 3, 95.040290,22.389254,settlement/industry,Sagaing Division,Myanmar,bracelet frag,0.0001,0.0001,0.1140,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,97.7820,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,UCL Qatar SEM-EDS,,
191,SEALIP/MY/OAI3/6,Early Bronze Age,1000 - 800 BC,Oakaie 3, 95.040290,22.389254,settlement/industry,Sagaing Division,Myanmar,ring frag,0.0001,0.0001,7.8340,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,90.2040,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.6120,0.0001,0.0001,0.0001,0.0001,UCL Qatar SEM-EDS,,
192,SEALIP/MY/OAI3/7,Early Bronze Age,1000 - 800 BC,Oakaie 3, 95.040290,22.389254,settlement/industry,Sagaing Division,Myanmar,"platy fragment, small cutting tool",0.0001,0.0001,14.0040,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4120,0.0001,0.0001,0.0001,0.0001,0.0001,62.7820,0.0001,0.0001,0.1540,0.0001,0.0001,0.0001,0.0001,0.0001,0.0960,0.0001,0.3440,0.4000,0.0001,UCL Qatar SEM-EDS,,
193,SEALIP/MY/SP/1,Late Iron Age (Myanmar),AD 0 - 100,Supan,96.114377, 21.156425,U Soe Naing collection,Mandalay Division,Myanmar,bowl fragment,0.0001,0.0001,22.9000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,71.5000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,UCL Qatar SEM-EDS,,
194,SEALIP/MY/YGG/1,Iron Age,500 BC - AD 100,Ywa Gon Gyi,96.006475,20.963181,cemetery,Mandalay Division,Myanmar,fragment,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.1000,0.0001,0.0001,0.1000,98.0000,0.1000,0.0001,1.4000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Rennes ICP-AES,,
195,SEALIP/MY/YGG/1,Iron Age,500 - 100 BC,Ywa Gon Gyi,96.006475°,20.963181°,cemetery,Mandalay Division,Myanmar,uncertain,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.1000,0.0001,0.0001,0.1000,0.0001,0.0001,0.1000,98.0000,0.1000,0.0001,1.4000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,Rennes ICP-AES,Metal,
