,LABEL analytical,absolute period,Large period,Site,Site abrevation,Easting - Longitude,Northing-Latitude,Type of site/context,Region,River basin ,River basin coordinates-E,River basin coordinates-N,Country,Artefact type,O,Sb,Sn,Cd,Pd,Ag,Ru,Mo,Nb,Zr,Bi,Pb,Se,As,Au,W,Zn,Cu,Ni,Co,Fe,Mn,Cr,V,Ti,Al,S,Cl,P,Si,Mg,Analytical technique,Corrosion products,
162,SEALIP/MY/HLTP1/2,AD 1000-1200,Historic,Halin,HLTP1, 95.801888, 22.444580,settlement,Sagaing Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Ring,nd,0.4143,nd,nd,nd,nd,nd,nd,nd,0.0060,0.1400,1.3543,nd,nd,nd,nd,0.0560,97.0987,nd,nd,0.1000,nd,0.0637,0.0323,nd,nd,nd,nd,nd,nd,nd,pXRF,Low,
163,SEALIP/MY/HTP/1,500 BC - AD 100,Iron Age,Htan Ta Bin,HTP, 95.996184, 20.591653,Mandalay museum,Mandalay Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Bowl,nd,nd,8.9320,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,89.4220,nd,nd,nd,nd,nd,nd,nd,nd,0.1400,nd,nd,nd,nd,UCL Qatar SEM-EDS,Low,
164,SEALIP/MY/KGG/1,500 - 100 BC,Iron Age,Kan Gyi Gon,KGG, 95.809166, 20.791384,cemetery,Magway Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Wire bundle,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,99.5475,0.0610,nd,0.3170,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,Low,
165,SEALIP/MY/LPDT/1,AD 2015,Modern,Letpadaungtaung mine,LPDT,95.096884,22.082657,modern Cu mine,Sagaing Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Ingot,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,100.0000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,,
166,SEALIP/MY/MH/1,500 - 100 BC,Iron Age,Myo Hla,MH,96.266894,19.403929,cemetery,Bago Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Vessel,nd,nd,13.1000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,74.1000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Rennes SEM-EDS,Low,
167,SEALIP/MY/MHT/1,1000 - 500 BC,Bronze Age,Mon Htoo,MHT, 95.226852, 22.340746,villagers' collections,Sagaing Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Fragment,nd,nd,23.3000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,60.1000,nd,nd,nd,nd,nd,nd,nd,nd,0.1000,nd,nd,nd,nd,UCL Qatar SEM-EDS,Low,
168,SEALIP/MY/MHT/2,1000 - 500 BC,Bronze Age,Mon Htoo,MHT, 95.226852, 22.340746,villagers' collections,Sagaing Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Fragment,nd,nd,22.4000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,68.9000,nd,nd,nd,nd,nd,nd,nd,nd,0.2000,nd,nd,nd,nd,UCL Qatar SEM-EDS,Low,
169,SEALIP/MY/MHT/3,1000 - 500 BC,Bronze Age,Mon Htoo,MHT, 95.226852, 22.340746,villagers' collections,Sagaing Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Ring,nd,nd,7.7000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,88.5000,nd,nd,nd,nd,nd,nd,nd,nd,0.2000,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
170,SEALIP/MY/MLW/1,300 - 100 BC,Iron Age,Maliwan,MLW, 98.623468, 10.324234,,Thanintharyi Division,Maritime,99.1944,10.5720,Myanmar,,nd,0.0607,7.5870,nd,nd,nd,nd,nd,nd,0.0043,0.1163,13.4473,nd,0.4880,nd,nd,nd,78.1490,0.0563,nd,nd,nd,nd,nd,0.0853,nd,nd,nd,nd,nd,nd,pXRF,Low,
171,SEALIP/MY/MLW/2,300 - 100 BC,Iron Age,Maliwan,MLW, 98.623468, 10.324234,,Thanintharyi Division,Maritime,99.1944,10.5720,Myanmar,,nd,0.6620,19.3923,nd,nd,nd,nd,nd,nd,nd,0.1243,3.5323,nd,0.5767,0.0270,nd,nd,74.9777,0.1133,0.0900,0.4330,nd,nd,nd,0.1430,nd,nd,nd,nd,nd,nd,pXRF,Medium,
172,SEALIP/MY/MLW/3,300 - 100 BC,Iron Age,Maliwan,MLW, 98.623468, 10.324234,,Thanintharyi Division,Maritime,99.1944,10.5720,Myanmar,,nd,nd,0.0513,nd,nd,nd,nd,nd,nd,0.0030,0.6907,0.0250,nd,0.0150,nd,nd,nd,98.3530,nd,nd,0.0523,nd,nd,nd,nd,nd,0.7853,nd,nd,nd,nd,pXRF,Medium,
173,SEALIP/MY/MOH/1,500 - 100 BC,Iron Age,Myin Oo Hle,MOH, 95.538034, 21.119677,Yangon University Museum,Mandalay Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Bell,nd,nd,6.4000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,90.1000,nd,nd,1.2000,nd,nd,nd,nd,nd,0.5000,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
174,SEALIP/MY/MT/1,500 - 100 BC,Iron Age,Myinthe,MT, 95.876616, 21.789439,U Soe Naing collection,Mandalay Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Spearhead,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,98.7000,nd,nd,0.1000,nd,nd,nd,nd,nd,0.5000,nd,nd,0.2000,nd,UCL Qatar SEM-EDS,Medium,
175,SEALIP/MY/NGO/1,500 - 100 BC,Iron Age,Nyaung Gon,NGO, 95.059942, 22.411151,cemetery,Mandalay Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Wire bundle,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,99.7240,nd,nd,0.1500,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,Low,
177,SEALIP/MY/NGO/2,500 - 100 BC,Iron Age,Nyaung Gon,NGO, 95.059942, 22.411151,cemetery,Mandalay Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Wire bundle,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0575,nd,nd,nd,nd,nd,99.3085,nd,nd,0.5570,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,Low,
178,SEALIP/MY/NGO/3,500 - 100 BC,Iron Age,Nyaung Gon,NGO, 95.059942, 22.411151,cemetery,Mandalay Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Wire bundle,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,99.6840,nd,nd,0.2280,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,Low,
179,SEALIP/MY/NGO/4,500 - 100 BC,Iron Age,Nyaung Gon,NGO, 95.059942, 22.411151,cemetery,Mandalay Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Wire bundle,nd,nd,0.0690,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,99.6275,nd,nd,0.1785,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,Low,
180,SEALIP/MY/NGO/5,500 - 100 BC,Iron Age,Nyaung Gon,NGO, 95.059942, 22.411151,cemetery,Mandalay Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Wire bundle,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,99.5535,nd,nd,0.3390,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,Low,
181,SEALIP/MY/NGO/6,500 - 100 BC,Iron Age,Nyaung Gon,NGO, 95.059942, 22.411151,cemetery,Mandalay Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Wire bundle,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.1305,nd,nd,nd,nd,nd,99.3250,nd,nd,0.4270,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,Low,
182,SEALIP/MY/NGO/7,500 - 100 BC,Iron Age,Nyaung Gon,NGO, 95.059942, 22.411151,cemetery,Mandalay Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Wire bundle,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,99.2745,nd,nd,0.5760,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,Low,
183,SEALIP/MY/NGO/8,500 - 100 BC,Iron Age,Nyaung Gon,NGO, 95.059942, 22.411151,cemetery,Mandalay Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Wire bundle,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,99.6145,nd,nd,0.2235,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,Low,
184,SEALIP/MY/NGO/9,500 - 100 BC,Iron Age,Nyaung Gon,NGO, 95.059942, 22.411151,cemetery,Mandalay Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Wire bundle,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0945,nd,nd,nd,nd,nd,98.6995,0.0705,nd,0.9955,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,Low,
185,SEALIP/MY/NGO/10,500 - 100 BC,Iron Age,Nyaung Gon,NGO, 95.059942, 22.411151,cemetery,Mandalay Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Wire bundle,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,99.7605,nd,nd,0.1360,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,Low,
186,SEALIP/MY/NYG/1,1000 - 800 BC,Bronze Age,Nyaung'gan,NYG, 95.059942, 22.411151,cemetery,Sagaing Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Arrowhead,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,24.5000,nd,nd,nd,nd,nd,77.5320,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,UCL Qatar SEM-EDS,Medium,
187,SEALIP/MY/OAI/1,1000 - 700 BC,Bronze Age,"""Oakaie""",OAI, 95.051987, 22.403892,Yangon University Museum,Sagaing Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Fragment,nd,2.1000,4.5000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.7467,nd,nd,nd,92.8000,nd,nd,nd,nd,nd,nd,nd,nd,0.0600,nd,nd,nd,nd,UCL Qatar SEM-EDS,Low,
188,SEALIP/MY/OAI/2,1000 - 700 BC,Bronze Age,"""Oakaie""",OAI, 95.051987, 22.403892,Yangon University Museum,Sagaing Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Fragment,nd,nd,15.9300,nd,nd,nd,nd,nd,nd,nd,nd,1.2940,nd,nd,nd,nd,nd,52.3400,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,UCL Qatar SEM-EDS,Medium,
189,SEALIP/MY/OAI1/1,1000 - 800 BC,Bronze Age,Oakaie 1,OAI1,95.049182, 22.390086,cemetery,Sagaing Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Axe,nd,nd,3.7000,nd,nd,0.0520,nd,nd,nd,nd,nd,0.1100,nd,0.0500,nd,nd,nd,95.0000,0.0600,0.5200,0.2900,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,,
190,SEALIP/MY/OAI2/1,1000 - 800 BC,Bronze Age,Oakaie 2,OAI2, 95.041954, 22.390500,settlement,Sagaing Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Rod,nd,nd,3.3300,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,94.7740,nd,nd,nd,nd,nd,nd,nd,nd,0.1300,nd,nd,nd,nd,UCL Qatar SEM-EDS,Low,
191,SEALIP/MY/OAI3/2,1000 - 800 BC,Bronze Age,Oakaie 3,OAI3, 95.040290,22.389254,settlement/industry,Sagaing Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Bangle,nd,nd,6.0750,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,92.8975,nd,nd,0.2075,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,UCL Qatar SEM-EDS,High,
192,SEALIP/MY/OAI3/3,1000 - 800 BC,Bronze Age,Oakaie 3,OAI3, 95.040290,22.389254,settlement/industry,Sagaing Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Ring,nd,nd,11.9500,nd,nd,nd,nd,nd,nd,nd,0.3580,nd,nd,0.9180,nd,nd,nd,65.3400,nd,nd,0.1450,nd,nd,nd,nd,nd,0.2440,nd,0.3900,0.1880,nd,UCL Qatar SEM-EDS,High,
193,SEALIP/MY/OAI3/4,1000 - 800 BC,Bronze Age,Oakaie 3,OAI3, 95.040290,22.389254,settlement/industry,Sagaing Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Bangle,nd,nd,15.4900,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,52.8640,nd,nd,0.2400,nd,nd,nd,nd,nd,0.1140,nd,0.2480,1.2800,nd,UCL Qatar SEM-EDS,High,
194,SEALIP/MY/OAI3/5,1000 - 800 BC,Bronze Age,Oakaie 3,OAI3, 95.040290,22.389254,settlement/industry,Sagaing Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Bangle,nd,nd,0.1140,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,97.7820,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,UCL Qatar SEM-EDS,Low,
195,SEALIP/MY/OAI3/6,1000 - 800 BC,Bronze Age,Oakaie 3,OAI3, 95.040290,22.389254,settlement/industry,Sagaing Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Ring,nd,nd,7.8340,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,90.2040,nd,nd,nd,nd,nd,nd,nd,nd,0.6120,nd,nd,nd,nd,UCL Qatar SEM-EDS,Low,
196,SEALIP/MY/OAI3/7,1000 - 800 BC,Bronze Age,Oakaie 3,OAI3, 95.040290,22.389254,settlement/industry,Sagaing Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Fragment,nd,nd,14.0040,nd,nd,nd,nd,nd,nd,nd,nd,0.4120,nd,nd,nd,nd,nd,62.7820,nd,nd,0.1540,nd,nd,nd,nd,nd,0.0960,nd,0.3440,0.4000,nd,UCL Qatar SEM-EDS,High,
197,SEALIP/MY/SP/1,AD 0 - 100,Iron Age,Supan,SP,96.114377, 21.156425,U Soe Naing collection,Mandalay Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Bowl,nd,nd,22.9000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,71.5000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
198,SEALIP/MY/YGG/1,500 BC - AD 100,Iron Age,Ywa Gon Gyi,YGG,96.006475,20.963181,cemetery,Mandalay Division,Irrawady/Chindwin river basin ,95.2052,22.0339,Myanmar,Fragment,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.1000,nd,nd,0.1000,98.0000,0.1000,nd,1.4000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Rennes ICP-AES,High,
199,SEALIP/PH/IDL/1,1 st millenium AD,Metal Age,Idulot Cave,IDL, 119.29561,11.11554,,Palawan,Maritime,123.2121,11.4817,Phillippines,Bangle,nd,nd,0.0937,nd,nd,nd,nd,nd,0.0083,nd,nd,0.7277,nd,nd,nd,nd,24.5000,73.3717,0.0177,nd,0.2197,nd,nd,0.0187,nd,nd,nd,nd,nd,nd,nd,pXRF,Low,
200,SEALIP/PH/IDL/2,1 st millenium AD,Metal Age,Idulot Cave,IDL, 119.29561,11.11554,,Palawan,Maritime,123.2121,11.4817,Phillippines,Fragment,nd,nd,16.8550,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,82.6467,nd,nd,nd,nd,0.0827,nd,0.0983,nd,nd,nd,nd,nd,nd,pXRF,High,
201,SEALIP/PH/ILL/1,1 st millenium BC - 1 st millenium AD,Metal Age,Ille Cave,ILL,119.3019,11.1146,,Palawan,Maritime,123.2121,11.4817,Phillippines,Axe,nd,nd,12.7250,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,86.6103,nd,nd,nd,nd,0.0683,0.0130,0.1143,nd,nd,nd,nd,nd,nd,pXRF,High,
202,SEALIP/PH/ILL/2,1 st millenium BC - 1 st millenium AD,Metal Age,Ille Cave,ILL,119.3019,11.1146,,Palawan,Maritime,123.2121,11.4817,Phillippines,Ring,nd,nd,nd,nd,nd,nd,nd,0.0057,0.0063,nd,nd,11.2460,nd,nd,nd,5.4137,38.6440,43.2820,0.0620,nd,1.0113,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,High,
203,SEALIP/PH/ILL/3,1 st millenium BC - 1 st millenium AD,Metal Age,Ille Cave,ILL,119.3019,11.1146,,Palawan,Maritime,123.2121,11.4817,Phillippines,Bell,nd,nd,21.3000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,78.1423,nd,nd,nd,nd,0.0617,0.0227,0.1270,nd,nd,nd,nd,nd,nd,pXRF,High,
204,SEALIP/PH/ILL/4,1 st millenium BC - 1 st millenium AD,Metal Age,Ille Cave,ILL,119.3019,11.1146,,Palawan,Maritime,123.2121,11.4817,Phillippines,Fragment,nd,nd,21.9560,nd,nd,nd,nd,nd,nd,nd,nd,0.0827,nd,nd,nd,nd,0.0610,77.2470,nd,nd,0.0613,nd,0.1617,nd,0.1327,nd,nd,nd,nd,nd,nd,pXRF,High,
205,SEALIP/PH/ILL/5,1 st millenium BC - 1 st millenium AD,Metal Age,Ille Cave,ILL,119.3019,11.1146,,Palawan,Maritime,123.2121,11.4817,Phillippines,Ring,nd,nd,nd,nd,nd,nd,nd,nd,0.0077,nd,nd,3.8460,nd,nd,nd,nd,28.5247,67.0093,0.0697,nd,0.2997,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,Low,
206,SEALIP/PH/ILL/6,1 st millenium BC - 1 st millenium AD,Metal Age,Ille Cave,ILL,119.3019,11.1146,,Palawan,Maritime,123.2121,11.4817,Phillippines,Fragment,nd,nd,7.7873,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0193,nd,nd,nd,0.0483,91.8463,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,High,
207,SEALIP/PH/MKM/1,1 st millenium AD,Metal Age,Makanait Maliit,MKM,119.30062,11.11529,,Palawan,Maritime,123.2121,11.4817,Phillippines,Ring,nd,nd,nd,nd,nd,nd,nd,nd,0.0197,0.0347,nd,2.1440,nd,nd,nd,nd,29.5720,67.1610,nd,nd,0.7563,nd,0.0457,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,Medium,
208,SEALIP/PH/NMB/1,1 st millenium AD,Metal Age,Nakangef Makit,NMB,119.2959,11.12881,,Palawan,Maritime,123.2121,11.4817,Phillippines,Ring,1.9475,nd,0.7000,nd,nd,nd,nd,nd,nd,nd,nd,0.7000,nd,nd,nd,nd,3.0000,93.5000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,SEM-EDS,,
209,SEALIP/PH/PSB/1,1 st millenium AD,Metal Age,Pasimbahan,PSB,119.2959 ,11.12881,,Palawan,Maritime,123.2121,11.4817,Phillippines,Bangle,nd,0.1433,2.8430,nd,nd,nd,nd,nd,nd,nd,nd,24.9010,nd,nd,nd,nd,2.3240,68.8560,nd,nd,0.3933,nd,0.0450,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,Low,
210,SEALIP/PH/SVG/1,200 BC - AD 200,Metal Age,Savidug. Batanes,SVG,121.887924,20.310948,Jar burial,,Maritime,123.2121,11.4817,Philippines,Casting spillage,nd,0.0000,5.4913,nd,nd,0.0123,nd,nd,nd,nd,0.0000,0.0000,nd,0.0066,0.0000,nd,0.0000,94.4148,0.0092,0.0061,0.0108,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Oxford EPMA,Low,
211,SEALIP/PNG/SASI/1,0 BC/AD,Metal Age,Sasi. Lou Island,SASI,147.310862,-2.443609,Raised beach deposit,Papua New Guinea,Maritime,123.2121,11.4817,Papua New Guinea,Fragment,nd,0.0382,12.8049,nd,nd,0.0243,nd,nd,nd,nd,nd,0.0931,0.0128,0.0472,0.0766,nd,nd,86.7069,nd,nd,0.0869,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Medium,
212,SEALIP/SL/TSS/1,AD 100 - 200,Historic,Tissamaharama,TSS,81.291421,6.279804,,Southern Sri Lanka,indian sub-continent,80.3718,7.4527,Sri Lanka,Vessel,nd,0.0002,3.4000,nd,nd,0.0037,nd,nd,nd,nd,nd,0.0008,nd,0.0081,nd,nd,nd,80.0000,0.0603,0.0041,0.2873,nd,nd,0.0026,0.0016,0.6570,nd,nd,nd,1.1800,nd,,,
213,SEALIP/SL/TSS/2,AD 100 - 200,Historic,Tissamaharama,TSS,81.291421,6.279804,,Southern Sri Lanka,indian sub-continent,80.3718,7.4527,Sri Lanka,Vessel,nd,0.0005,18.0000,nd,nd,0.0078,nd,nd,nd,nd,nd,0.0095,nd,0.0106,nd,nd,nd,79.0000,0.2838,0.0924,0.3449,nd,nd,0.0029,0.0021,0.0930,nd,nd,nd,1.1900,nd,,,
214,SEALIP/SL/TSS/3,AD 0 - 200,Historic,Tissamaharama,TSS,81.291421,6.279804,,Southern Sri Lanka,indian sub-continent,80.3718,7.4527,Sri Lanka,Vessel,nd,nd,2.6000,nd,nd,0.0051,nd,nd,nd,nd,nd,0.0045,nd,0.0022,nd,nd,nd,72.0000,0.0844,0.0158,0.1648,nd,nd,0.0006,0.0004,0.0172,nd,nd,nd,0.2900,nd,,,
215,SEALIP/SL/TSS/4,AD 200 - 300,Historic,Tissamaharama,TSS,81.291421,6.279804,,Southern Sri Lanka,indian sub-continent,80.3718,7.4527,Sri Lanka,Vessel,nd,nd,2.7000,nd,nd,0.0028,nd,nd,nd,nd,nd,0.0061,nd,0.0033,nd,nd,nd,62.0000,0.1212,0.0199,0.2819,nd,nd,0.0046,0.0008,0.4990,nd,nd,nd,1.4400,nd,,,
216,SEALIP/SL/TSS/5,AD 0 - 100,Historic,Tissamaharama,TSS,81.291421,6.279804,,Southern Sri Lanka,indian sub-continent,80.3718,7.4527,Sri Lanka,Vessel,nd,0.0002,2.9000,nd,nd,0.0840,nd,nd,nd,nd,0.0008,0.0080,nd,0.0032,nd,nd,nd,65.0000,0.0309,0.0081,0.0836,nd,nd,0.0021,0.0021,0.1203,nd,nd,nd,0.7590,nd,,,
218,SEALIP/TH/BC/1,1100-900 BC,Bronze Age,Ban Chiang,BC,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Chi/Mun river basin,103.0502,16.2018,Thailand,Spearhead,nd,0.0188,9.6650,nd,nd,0.0059,nd,nd,nd,nd,nd,0.0712,nd,0.0624,nd,nd,nd,89.9238,0.0280,nd,0.1420,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Low,
219,SEALIP/TH/BC/2,1100-800 BC,Bronze Age,Ban Chiang,BC,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Chi/Mun river basin,103.0502,16.2018,Thailand,Bangle,nd,0.0191,11.1903,nd,nd,0.0696,nd,nd,nd,nd,0.0288,0.0236,0.0138,0.1067,nd,nd,nd,88.5318,0.0323,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Low,
220,SEALIP/TH/BC/3,1100-800 BC,Bronze Age,Ban Chiang,BC,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Chi/Mun river basin,103.0502,16.2018,Thailand,Bangle,nd,0.0466,15.2496,nd,nd,0.1058,nd,nd,nd,nd,0.0480,0.0530,0.0209,0.1092,nd,nd,nd,84.3429,0.0159,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Medium,
221,SEALIP/TH/BC/4,800-500 BC,Bronze Age,Ban Chiang,BC,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Chi/Mun river basin,103.0502,16.2018,Thailand,Bangle,nd,0.0135,11.8710,nd,nd,0.0072,nd,nd,nd,nd,nd,0.1163,nd,0.0412,nd,nd,nd,87.8937,0.0241,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Medium,
222,SEALIP/TH/BC/5,800-500 BC,Bronze Age,Ban Chiang,BC,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Chi/Mun river basin,103.0502,16.2018,Thailand,Arrowhead,nd,0.0451,6.6165,nd,nd,0.1831,nd,nd,nd,nd,0.4065,0.0774,0.0133,1.7963,nd,nd,nd,91.2242,0.0363,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Medium,
223,SEALIP/TH/BC/6,800-500 BC,Bronze Age,Ban Chiang,BC,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Chi/Mun river basin,103.0502,16.2018,Thailand,Bangle,nd,0.0259,15.3987,nd,nd,0.0310,nd,nd,nd,nd,nd,0.1868,0.0131,0.2115,nd,nd,nd,83.9947,0.0371,nd,0.0600,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,High,
224,SEALIP/TH/BC/7,500-200 BC,Iron Age,Ban Chiang,BC,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Chi/Mun river basin,103.0502,16.2018,Thailand,Fragment,nd,0.0120,9.6773,nd,nd,0.0096,nd,nd,nd,nd,0.0181,3.5057,nd,nd,nd,nd,nd,86.6957,0.0200,nd,0.0797,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Low,
225,SEALIP/TH/BC/8,500-200 BC,Iron Age,Ban Chiang,BC,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Chi/Mun river basin,103.0502,16.2018,Thailand,Fragment,nd,0.0037,4.3010,nd,nd,nd,nd,nd,nd,nd,nd,1.2877,nd,nd,0.0510,nd,nd,94.1257,nd,nd,0.1403,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,Low,WAS LABELLED BC/7 IN PREVIOUS
